CASH,PARTS_SUPPLIES_NET,CURR_ASSETS,FLIGHT_EQUIP,ASSETS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION
361350.14,1896770.25,22568518.83,36624742.62,72390534.41,AA,American Airlines Inc.,D
372561.61,2160320.00,23725238.65,37022554.61,73384555.58,AA,American Airlines Inc.,D
405771.46,35566.01,1760149.71,2289232.63,4428117.20,G4,Allegiant Air,D
422051.55,36097.91,1693232.71,2243179.10,4307673.42,G4,Allegiant Air,D
492868.14,61848.36,1139526.94,3986398.23,4873267.32,5Y,Atlas Air Inc.,D
544452.00,68863.00,10243895.00,7327992.00,19684240.00,AS,Alaska Airlines Inc.,D
548396.10,59574.34,1254051.98,3770328.73,4886705.28,5Y,Atlas Air Inc.,D
713589.00,83197.00,10541020.00,7652706.00,20312300.00,AS,Alaska Airlines Inc.,D
727160.80,40552.58,874753.24,221517.59,4131529.92,F9,Frontier Airlines Inc.,D
766126.12,54019.00,951705.08,228709.72,4237518.61,F9,Frontier Airlines Inc.,D
798040.00,623508.00,18822164.00,19955584.00,37262007.00,WN,Southwest Airlines Co.,D
864376.00,750976.00,19396078.00,20406489.00,38301723.00,WN,Southwest Airlines Co.,D
1292464.61,0.00,1761853.90,4424408.88,8715022.85,NK,Spirit Air Lines,D
1343312.79,0.00,1829461.52,4382246.94,8611717.05,NK,Spirit Air Lines,D
1610665.22,72939.83,2993979.25,11295467.51,13542784.50,B6,JetBlue Airways,D
1833904.62,67810.66,3272053.78,11151970.78,13802695.30,B6,JetBlue Airways,D
2282629.00,525595.00,7387282.00,28777337.00,47333930.00,FX,Federal Express Corporation,D
2615888.00,506408.00,7940554.00,28550189.00,47550742.00,FX,Federal Express Corporation,D
7676226.00,408594.00,15698658.00,33381675.00,73738715.00,DL,Delta Air Lines Inc.,D
9190326.00,444492.00,17268623.00,34093913.00,74853899.00,DL,Delta Air Lines Inc.,D
16884899.35,1152939.91,24370713.89,38746672.19,70352284.53,UA,United Air Lines Inc.,D
18467677.37,1068200.75,22612048.19,38436107.93,69009436.03,UA,United Air Lines Inc.,D
